file,episode_in_file,start_row,end_row,n_rows,state,finished,closest_goal,closest_dist,dist_target,dist_target2,final_block_x,final_block_y,final_ee_x,final_ee_y
20230131-091439-829145.csv,0,0,9999,10000,NotDone,False,target2,0.137011047333452,0.208812607596882,0.137011047333452,-0.062076695,-0.13165808,-0.063980974,-0.14345084
20230131-091611-855878.csv,0,0,9999,10000,NotDone,False,target2,0.3719949534289498,0.41116389600329273,0.3719949534289498,-0.07668876,-0.37126383,-0.06652429,-0.42954585
20230131-091746-022612.csv,0,0,9999,10000,NotDone,False,target2,0.35859971090927173,0.36924495374238125,0.35859971090927173,-0.019370208,-0.3494175,0.0159401,-0.38871658
20230131-091916-090538.csv,0,0,9999,10000,NotDone,False,target2,0.383762912686443,0.39112644445701,0.383762912686443,-0.014264806,-0.37406343,-0.0084206,-0.3585642
20230131-092047-086599.csv,0,0,9999,10000,NotDone,False,target,0.5019117903458675,0.5019117903458675,0.5132752276198357,0.028840035,-0.49684173,0.02669228,-0.5860135
20230131-092225-844907.csv,0,0,9999,10000,NotDone,False,target2,0.13072656268195,0.23445034909472368,0.13072656268195,-0.09469383,-0.13061883,-0.08758388,-0.220402
20230131-092403-703041.csv,0,0,9999,10000,NotDone,False,target2,0.14368410787224487,0.22822842692145714,0.14368410787224487,-0.07860773,-0.1420827,-0.028562859,-0.21201305
20230131-092539-355554.csv,0,0,9999,10000,NotDone,False,target,0.5288621392597986,0.5288621392597986,0.5339463702868019,0.01350891,-0.52174175,0.03369945,-0.57567614
20230131-092711-986334.csv,0,0,9999,10000,NotDone,False,target2,0.0818739872863274,0.21084319717306912,0.0818739872863274,-0.09437876,-0.08168079,-0.094633944,-0.13973817
20230131-092841-995566.csv,0,0,9999,10000,NotDone,False,target2,0.6944411865234302,0.7199544468506808,0.6944411865234302,-0.09021461,-0.69437224,-0.07800191,-0.75766075
