action_0,action_1,action_2,action_3,action_4
0.03835165873169899,0.08478747308254242,0.1268000304698944,0.03764575719833374,0.19420108199119568
0.04830709472298622,0.0642627477645874,0.0755765363574028,0.11442172527313232,0.023061787709593773
0.30714452266693115,0.09181760251522064,0.04418535530567169,0.02505856193602085,0.16682666540145874
0.039445966482162476,0.056689515709877014,0.03570691496133804,0.14171041548252106,0.10127647966146469
0.037000689655542374,0.028293676674365997,0.08817509561777115,0.02119097113609314,0.11171899735927582
0.07189697027206421,0.153761088848114,0.01794816553592682,0.08128365129232407,0.04081335663795471
0.1773909032344818,0.049339424818754196,0.06542310863733292,0.058421794325113297,0.2585029602050781
0.09543917328119278,0.08585846424102783,0.07908067852258682,0.15044258534908295,0.1403798609972
0.0625431090593338,0.2854922413825989,0.18489065766334534,0.11648640036582947,0.08921953290700912
0.15588471293449402,0.07217345386743546,0.06732307374477386,0.06673631817102432,0.09001396596431732
0.1405918151140213,0.10082297027111053,0.09389595687389374,0.10767151415348053,0.1974920630455017
0.24968469142913818,0.10184675455093384,0.1968153715133667,0.136301189661026,0.18902109563350677
0.11565695703029633,0.10997259616851807,0.23952651023864746,0.11546019464731216,0.21678555011749268
0.09766519069671631,0.05040297284722328,0.05072948709130287,0.23310713469982147,0.049094293266534805
0.05644981190562248,0.11472634971141815,0.09380067884922028,0.11535629630088806,0.06743000447750092
0.10374213755130768,0.06777290999889374,0.008984114974737167,0.06955298781394958,0.03787890821695328
0.019591106101870537,0.09145032614469528,0.021412977948784828,0.015648195520043373,0.01891537941992283
0.015405682846903801,0.018456973135471344,0.005886468105018139,0.013239631429314613,0.03999679163098335
0.052231721580028534,0.027714988216757774,0.040388792753219604,0.06658443808555603,0.03778764605522156
0.02387240342795849,0.012963675893843174,0.012147859670221806,0.04550521820783615,0.06407833844423294
0.041325073689222336,0.06440854072570801,0.03139470890164375,0.10543997585773468,0.6877555847167969
0.025270957499742508,0.0791991800069809,0.03858569636940956,0.05474039912223816,0.03433271124958992
0.06690014153718948,0.04847167804837227,0.027652990072965622,0.04879055544734001,0.06103363633155823
0.028612110763788223,0.08720491826534271,0.1656845062971115,0.08151018619537354,0.03671663627028465
0.06126619130373001,0.20329518616199493,0.06861068308353424,0.17349417507648468,0.009351822547614574
0.020182274281978607,0.10114941000938416,0.04703286290168762,0.0547918938100338,0.13917717337608337
0.10753026604652405,0.02323615364730358,0.02727634459733963,0.03126715496182442,0.09186535328626633
0.019871070981025696,0.033132873475551605,0.0935964286327362,0.009693584404885769,0.055642157793045044
0.06778135895729065,0.06485871225595474,0.11065804213285446,0.03228352591395378,0.23761382699012756
0.07275883108377457,0.06203578785061836,0.44197818636894226,0.026815947145223618,0.040473051369190216
0.04942917823791504,0.07241570949554443,0.04789120331406593,0.030743738636374474,0.3062889277935028
0.15946386754512787,0.06031307578086853,0.0534437820315361,0.03965357318520546,0.03240436315536499
0.03025182895362377,0.024775272235274315,0.04658341780304909,0.04056122153997421,0.0572383813560009
0.07663292437791824,0.1122693121433258,0.04540941119194031,0.0674692913889885,0.18432660400867462
0.19548223912715912,0.057201918214559555,0.14179034531116486,0.07112037390470505,0.051507897675037384
0.04416286200284958,0.07170446962118149,0.12042557448148727,0.098607137799263,0.1735379844903946
0.026536837220191956,0.08497877418994904,0.009214510209858418,0.049216896295547485,0.05502500385046005
0.03926173970103264,0.054993391036987305,0.04828151687979698,0.05663299188017845,0.04776396229863167
0.030131490901112556,0.04349815845489502,0.052076373249292374,0.09871525317430496,0.04839428514242172
0.14265534281730652,0.2093524932861328,0.09515002369880676,0.07022026181221008,0.1417224407196045
0.05614891275763512,0.023499831557273865,0.04224225506186485,0.04642400145530701,0.08561708778142929
0.01991920918226242,0.13479772210121155,0.012099393643438816,0.10923817753791809,0.04797721281647682
0.05867800489068031,0.14207087457180023,0.06793828308582306,0.1412826031446457,0.08272154629230499
0.03842402249574661,0.07810097187757492,0.08860637992620468,0.019596287980675697,0.1157350018620491
0.03334011137485504,0.14665788412094116,0.021419543772935867,0.10239896178245544,0.09570714831352234
0.05004061013460159,0.023152299225330353,0.04842604324221611,0.06892859935760498,0.0555596798658371
